date,tqqq_close_usd_split_adj,cnn_fear_greed
2024-01-02,24.0650,79.7143
2024-01-03,23.2950,76.7143
2024-01-04,22.9050,78.6857
2024-01-05,22.9900,75.7714
2024-01-08,24.3750,76.1714
2024-01-09,24.5350,75.6857
2024-01-10,25.0200,76.3714
2024-01-11,25.1400,74.6571
2024-01-12,25.1700,73.0857
2024-01-16,25.1550,72.2857
2024-01-17,24.7200,57.2143
2024-01-18,25.7800,66.4571
2024-01-19,27.2700,72.8286
2024-01-22,27.3800,72.8571
2024-01-23,27.7050,70.2571
2024-01-24,28.1600,72.4857
2024-01-25,28.2400,73.2286
2024-01-26,27.7200,73.8000
2024-01-29,28.5350,74.1143
2024-01-30,27.9650,74.2286
2024-01-31,26.3200,64.1143
2024-02-01,27.2500,72.3429
2024-02-02,28.6200,74.6000
2024-02-05,28.4750,73.3143
2024-02-06,28.3100,73.2000
2024-02-07,29.1550,73.7714
2024-02-08,29.2750,74.6000
2024-02-09,30.1350,75.4286
2024-02-12,29.7800,75.8286
2024-02-13,28.3700,66.7429
2024-02-14,29.2700,67.5143
2024-02-15,29.5150,73.8571
2024-02-16,28.7050,73.4857
2024-02-20,28.0400,63.7429
2024-02-21,27.6900,63.7000
2024-02-22,30.0850,73.9429
2024-02-23,29.8100,73.3429
2024-02-26,29.7700,71.9143
2024-02-27,29.9550,75.7714
2024-02-28,29.4700,76.7714
2024-02-29,30.1800,77.4571
2024-03-01,31.5650,76.8286
2024-03-04,31.1900,79.2286
2024-03-05,29.5200,76.1143
2024-03-06,30.0650,72.5429
2024-03-07,31.4050,73.8571
2024-03-08,30.0300,70.0286
2024-03-11,29.6800,62.7714
2024-03-12,30.9400,72.2000
2024-03-13,30.2200,71.7714
2024-03-14,29.9750,70.4000
2024-03-15,28.8800,68.6286
2024-03-18,29.6950,70.7429
2024-03-19,29.9000,70.8571
2024-03-20,30.8500,69.6286
2024-03-21,31.2500,71.3714
2024-03-22,31.3150,69.5143
2024-03-25,30.9950,67.4286
2024-03-26,30.7050,67.9143
2024-03-27,30.9750,69.7714
2024-03-28,30.7800,68.7714
2024-04-01,30.9700,71.2571
2024-04-02,30.1400,71.1429
2024-04-03,30.3400,69.4000
2024-04-04,28.9100,53.8000
2024-04-05,29.9300,58.1000
2024-04-08,29.9500,64.0286
2024-04-09,30.2600,59.6286
2024-04-10,29.4650,49.6714
2024-04-11,30.8500,56.6571
2024-04-12,29.3600,45.0143
2024-04-15,27.8850,38.4000
2024-04-16,27.8900,35.1143
2024-04-17,26.8550,31.1571
2024-04-18,26.3750,30.4000
2024-04-19,24.7400,27.6714
2024-04-22,25.4600,34.1714
2024-04-23,26.5950,36.5714
2024-04-24,26.8550,37.4857
2024-04-25,26.4250,39.0857
2024-04-26,27.6400,40.5143
2024-04-29,27.9700,42.4286
2024-04-30,26.3675,40.5429
2024-05-01,25.8000,40.5143
2024-05-02,26.7550,42.2286
2024-05-03,28.3500,43.2571
2024-05-06,29.2800,39.0000
2024-05-07,29.2800,37.1714
2024-05-08,29.2250,38.1714
2024-05-09,29.3850,42.2286
2024-05-10,29.5850,46.0286
2024-05-13,29.7800,48.1143
2024-05-14,30.3350,55.2857
2024-05-15,31.7350,59.3714
2024-05-16,31.5400,62.3143
2024-05-17,31.4700,62.8000
2024-05-20,32.1200,60.4286
2024-05-21,32.2850,59.4286
2024-05-22,32.2650,58.5143
2024-05-23,31.7850,52.3714
2024-05-24,32.6750,51.7429
2024-05-28,33.0300,54.6857
2024-05-29,32.3400,49.9714
2024-05-30,31.3000,45.0857
2024-05-31,31.2650,48.4286
2024-06-03,31.5700,45.4857
2024-06-04,31.8050,47.6286
2024-06-05,33.7250,51.1429
2024-06-06,33.6850,45.3143
2024-06-07,33.5600,43.4000
2024-06-10,33.9150,44.7429
2024-06-11,34.6150,44.4000
2024-06-12,35.9800,46.5714
2024-06-13,36.5550,44.5714
2024-06-14,37.0850,41.1143
2024-06-17,38.4300,43.2857
2024-06-18,38.4500,41.2857
2024-06-20,37.5450,38.7143
2024-06-21,37.2000,39.0571
2024-06-24,35.9400,37.7714
2024-06-25,37.1400,37.2857
2024-06-26,37.2300,40.8857
2024-06-27,37.5000,45.5143
2024-06-28,36.9100,44.3143
2024-07-01,37.5150,47.9429
2024-07-02,38.6650,49.7429
2024-07-03,39.6150,48.3714
2024-07-05,40.8150,49.7143
2024-07-08,41.0850,51.0571
2024-07-09,41.1750,50.5714
2024-07-10,42.4650,54.6000
2024-07-11,39.6750,49.4000
2024-07-12,40.3200,54.3714
2024-07-15,40.6200,57.7429
2024-07-16,40.6500,57.0286
2024-07-17,37.0750,46.1143
2024-07-18,36.5200,45.9429
2024-07-19,35.5300,43.0000
2024-07-22,37.0800,48.4286
2024-07-23,36.6800,46.8571
2024-07-24,32.7250,38.6143
2024-07-25,31.6350,39.0714
2024-07-26,32.5400,42.5429
2024-07-29,32.7300,42.0714
2024-07-30,31.3950,40.8000
2024-07-31,34.1400,46.8857
2024-08-01,31.6800,42.6857
2024-08-02,29.3700,41.3857
2024-08-05,26.8100,33.0571
2024-08-06,27.4800,19.0143
2024-08-07,26.5950,16.5571
2024-08-08,29.0300,17.6571
2024-08-09,29.4250,24.0857
2024-08-12,29.6250,23.8000
2024-08-13,31.7800,25.5143
2024-08-14,31.8350,26.4286
